"Date","Production"
1956-05-15,7063
1956-06-15,7100
1956-07-15,7089
1956-08-15,7195
1956-09-15,7053
1956-10-15,6954
1956-11-15,7148
1956-12-15,7377
1957-01-15,7472
1957-02-15,7677
1957-03-15,7693
1957-04-15,7546
1957-05-15,7434
1957-06-15,7110
1957-07-15,6864
1957-08-15,6779
1957-09-15,6893
1957-10-15,6840
1957-11-15,6842
1957-12-15,6924
1958-01-15,6880
1958-02-15,6820
1958-03-15,6277
1958-04-15,6300
1958-05-15,6232
1958-06-15,6339
1958-07-15,6571
1958-08-15,6936
1958-09-15,7088
1958-10-15,6964
1958-11-15,6975
1958-12-15,7138
1959-01-15,7223
1959-02-15,7194
1959-03-15,7188
1959-04-15,7256
1959-05-15,7220
1959-06-15,7083
1959-07-15,6784
1959-08-15,6766
1959-09-15,6857
1959-10-15,6911
1959-11-15,6982
1959-12-15,7193
1960-01-15,7230
1960-02-15,7241
1960-03-15,7128
1960-04-15,7038
1960-05-15,6848
1960-06-15,6939
1960-07-15,6860
1960-08-15,6940
1960-09-15,6971
1960-10-15,6958
1960-11-15,7133
1960-12-15,7150
1961-01-15,7210
1961-02-15,7296
1961-03-15,7471
1961-04-15,7328
1961-05-15,7147
1961-06-15,7103
1961-07-15,6958
1961-08-15,7104
1961-09-15,6995
1961-10-15,7127
1961-11-15,7152
1961-12-15,7311
1962-01-15,7347
1962-02-15,7467
1962-03-15,7376
1962-04-15,7391
1962-05-15,7193
1962-06-15,7257
1962-07-15,7226
1962-08-15,7234
1962-09-15,7320
1962-10-15,7367
1962-11-15,7441
1962-12-15,7381
1963-01-15,7304
1963-02-15,7587
1963-03-15,7558
1963-04-15,7609
1963-05-15,7564
1963-06-15,7562
1963-07-15,7585
1963-08-15,7640
1963-09-15,7507
1963-10-15,7536
1963-11-15,7544
1963-12-15,7511
1964-01-15,7624
1964-02-15,7688
1964-03-15,7712
1964-04-15,7739
1964-05-15,7572
1964-06-15,7560
1964-07-15,7473
1964-08-15,7449
1964-09-15,7532
1964-10-15,7623
1964-11-15,7634
1964-12-15,7770
1965-01-15,7773
1965-02-15,7808
1965-03-15,7863
1965-04-15,7895
1965-05-15,7686
1965-06-15,7748
1965-07-15,7665
1965-08-15,7748
1965-09-15,7418
1965-10-15,7875
1965-11-15,7988
1965-12-15,8180
1966-01-15,8047
1966-02-15,8240
1966-03-15,8294
1966-04-15,8272
1966-05-15,8344
1966-06-15,8346
1966-07-15,8230
1966-08-15,8252
1966-09-15,8254
1966-10-15,8323
1966-11-15,8427
1966-12-15,8511
1967-01-15,8567
1967-02-15,8620
1967-03-15,8544
1967-04-15,8475
1967-05-15,8385
1967-06-15,8539
1967-07-15,9154
1967-08-15,9435
1967-09-15,9095
1967-10-15,9000
1967-11-15,8978
1967-12-15,8908
1968-01-15,9028
1968-02-15,9325
1968-03-15,9319
1968-04-15,9123
1968-05-15,9205
1968-06-15,9144
1968-07-15,9156
1968-08-15,9134
1968-09-15,8932
1968-10-15,8916
1968-11-15,8969
1968-12-15,8906
1969-01-15,8888
1969-02-15,8928
1969-03-15,9055
1969-04-15,9238
1969-05-15,9356
1969-06-15,9631
1969-07-15,9295
1969-08-15,9067
1969-09-15,9295
1969-10-15,9213
1969-11-15,9346
1969-12-15,9528
1970-01-15,9478
1970-02-15,9570
1970-03-15,9508
1970-04-15,9591
